Date,BIZD,BKLN,CUT,EMB,EMIF,EPP,EWD,EWUS,FPX,HYG,IASP.L,IFGL,IGF,IUKP.L,IWM,IYR,PAVE,QQQM,RWX,SCZ,SMH,SRLN,VNQ,WOOD
2000-01-03,,,,,,,11.493562,,,,,,,,,,,,,,,,,
2000-01-10,,,,,,,11.185485,,,,,,,,,,,,,,,,,
2000-01-17,,,,,,,11.564654,,,,,,,,,,,,,,,,,
2000-01-24,,,,,,,11.493562,,,,,,,,,,,,,,,,,
2000-01-31,,,,,,,10.830014,,,,,,,,,,,,,,,,,
2000-02-07,,,,,,,12.133410,,,,,,,,,,,,,,,,,
2000-02-14,,,,,,,12.346689,,,,,,,,,,,,,,,,,
2000-02-21,,,,,,,12.536277,,,,,,,,,,,,,,,,,
2000-02-28,,,,,,,13.247219,,,,,,,,,,,,,,,,,
2000-03-06,,,,,,,13.839669,,,,,,,,,,,,,,,,,
2000-03-13,,,,,,,13.294616,,,,,,,,,,,,,,,,,
2000-03-20,,,,,,,13.578992,,,,,,,,,,,,,,,,,
2000-03-27,,,,,,,13.247219,,,,,,,,,,,,,,,,,
2000-04-03,,,,,,,12.607370,,,,,,,,,,,,,,,,,
2000-04-10,,,,,,,13.128726,,,,,,,,,,,,,,,,,
2000-04-17,,,,,,,11.754239,,,,,,,,,,,,,,,,,
2000-04-24,,,,,,,12.228202,,,,,,,,,,,,,,,,,
2000-05-01,,,,,,,12.488879,,,,,,,,,,,,,,,,,
2000-05-08,,,,,,,12.370387,,,,,,,,,,,,,,,,,
2000-05-15,,,,,,,12.133410,,,,,,,,,,,,,,,,,
2000-05-22,,,,,,,11.138086,,,,,,,,,,,,,,,,,
2000-05-29,,,,,,,11.659445,,,,,,,,32.726257,,,,,,,,,
2000-06-05,,,,,,,12.868051,,,,,,,,36.506668,,,,,,41.901115,,,
2000-06-12,,,,,,,12.725858,,,,,,,,36.355652,,,,,,40.255856,,,
2000-06-19,,,,,,,11.777938,,,,,,,,37.401432,12.856958,,,,,43.519844,,,
2000-06-26,,,,,,,11.635748,,,,,,,,36.907993,12.799615,,,,,41.396915,,,
2000-07-03,,,,,,,11.896431,,,,,,,,37.534668,13.057673,,,,,40.813126,,,
2000-07-10,,,,,,,11.943825,,,,,,,,38.027103,13.304262,,,,,40.388542,,,
2000-07-17,,,,,,,12.631069,,,,,,,,39.034275,13.252652,,,,,43.705601,,,
