Date,BIZD,BKLN,CUT,EMB,EMIF,EPP,EWD,EWUS,FPX,HYG,IASP.L,IFGL,IGF,IUKP.L,IWM,IYR,PAVE,QQQM,RWX,SCZ,SMH,SRLN,VNQ,WOOD
2000-01-03,,,,,,,11.493562,,,,,,,,,,,,,,,,,
2000-01-04,,,,,,,11.090692,,,,,,,,,,,,,,,,,
2000-01-05,,,,,,,10.806319,,,,,,,,,,,,,,,,,
2000-01-06,,,,,,,10.616731,,,,,,,,,,,,,,,,,
2000-01-07,,,,,,,10.877413,,,,,,,,,,,,,,,,,
2000-01-10,,,,,,,11.185485,,,,,,,,,,,,,,,,,
2000-01-11,,,,,,,11.351373,,,,,,,,,,,,,,,,,
2000-01-12,,,,,,,11.256580,,,,,,,,,,,,,,,,,
2000-01-13,,,,,,,11.327676,,,,,,,,,,,,,,,,,
2000-01-14,,,,,,,11.564654,,,,,,,,,,,,,,,,,
2000-01-18,,,,,,,11.493562,,,,,,,,,,,,,,,,,
2000-01-19,,,,,,,11.469864,,,,,,,,,,,,,,,,,
2000-01-20,,,,,,,11.564654,,,,,,,,,,,,,,,,,
2000-01-21,,,,,,,11.469864,,,,,,,,,,,,,,,,,
2000-01-24,,,,,,,11.493562,,,,,,,,,,,,,,,,,
2000-01-25,,,,,,,11.398770,,,,,,,,,,,,,,,,,
2000-01-26,,,,,,,11.612050,,,,,,,,,,,,,,,,,
2000-01-27,,,,,,,11.327676,,,,,,,,,,,,,,,,,
2000-01-28,,,,,,,11.114394,,,,,,,,,,,,,,,,,
2000-01-31,,,,,,,10.830014,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,11.232882,,,,,,,,,,,,,,,,,
2000-02-02,,,,,,,11.801636,,,,,,,,,,,,,,,,,
2000-02-03,,,,,,,12.038617,,,,,,,,,,,,,,,,,
2000-02-04,,,,,,,12.014915,,,,,,,,,,,,,,,,,
2000-02-07,,,,,,,12.133410,,,,,,,,,,,,,,,,,
2000-02-08,,,,,,,12.488879,,,,,,,,,,,,,,,,,
2000-02-09,,,,,,,12.702160,,,,,,,,,,,,,,,,,
2000-02-10,,,,,,,12.607370,,,,,,,,,,,,,,,,,
2000-02-11,,,,,,,12.631069,,,,,,,,,,,,,,,,,
2000-02-14,,,,,,,12.346689,,,,,,,,,,,,,,,,,
2000-02-15,,,,,,,11.967519,,,,,,,,,,,,,,,,,
2000-02-16,,,,,,,12.370387,,,,,,,,,,,,,,,,,
2000-02-17,,,,,,,12.536277,,,,,,,,,,,,,,,,,
2000-02-18,,,,,,,12.536277,,,,,,,,,,,,,,,,,
2000-02-22,,,,,,,12.607370,,,,,,,,,,,,,,,,,
2000-02-23,,,,,,,12.844348,,,,,,,,,,,,,,,,,
2000-02-24,,,,,,,12.939138,,,,,,,,,,,,,,,,,
2000-02-25,,,,,,,13.199820,,,,,,,,,,,,,,,,,
2000-02-28,,,,,,,13.247219,,,,,,,,,,,,,,,,,
2000-02-29,,,,,,,13.176123,,,,,,,,,,,,,,,,,
2000-03-01,,,,,,,13.555294,,,,,,,,,,,,,,,,,
2000-03-02,,,,,,,13.887065,,,,,,,,,,,,,,,,,
2000-03-03,,,,,,,14.076653,,,,,,,,,,,,,,,,,
2000-03-06,,,,,,,13.839669,,,,,,,,,,,,,,,,,
2000-03-07,,,,,,,13.887065,,,,,,,,,,,,,,,,,
2000-03-08,,,,,,,13.578992,,,,,,,,,,,,,,,,,
2000-03-09,,,,,,,13.697482,,,,,,,,,,,,,,,,,
2000-03-10,,,,,,,13.792271,,,,,,,,,,,,,,,,,
2000-03-13,,,,,,,13.294616,,,,,,,,,,,,,,,,,
2000-03-14,,,,,,,13.342010,,,,,,,,,,,,,,,,,
2000-03-15,,,,,,,13.105025,,,,,,,,,,,,,,,,,
2000-03-16,,,,,,,13.294616,,,,,,,,,,,,,,,,,
2000-03-17,,,,,,,13.389404,,,,,,,,,,,,,,,,,
2000-03-20,,,,,,,13.578992,,,,,,,,,,,,,,,,,
2000-03-21,,,,,,,13.578992,,,,,,,,,,,,,,,,,
2000-03-22,,,,,,,13.602689,,,,,,,,,,,,,,,,,
2000-03-23,,,,,,,13.555294,,,,,,,,,,,,,,,,,
2000-03-24,,,,,,,13.484199,,,,,,,,,,,,,,,,,
2000-03-27,,,,,,,13.247219,,,,,,,,,,,,,,,,,
2000-03-28,,,,,,,13.294616,,,,,,,,,,,,,,,,,
2000-03-29,,,,,,,13.152421,,,,,,,,,,,,,,,,,
2000-03-30,,,,,,,12.702160,,,,,,,,,,,,,,,,,
2000-03-31,,,,,,,12.962840,,,,,,,,,,,,,,,,,
2000-04-03,,,,,,,12.607370,,,,,,,,,,,,,,,,,
2000-04-04,,,,,,,12.773252,,,,,,,,,,,,,,,,,
2000-04-05,,,,,,,12.417785,,,,,,,,,,,,,,,,,
2000-04-06,,,,,,,12.868051,,,,,,,,,,,,,,,,,
2000-04-07,,,,,,,12.915446,,,,,,,,,,,,,,,,,
2000-04-10,,,,,,,13.128726,,,,,,,,,,,,,,,,,
2000-04-11,,,,,,,12.607370,,,,,,,,,,,,,,,,,
2000-04-12,,,,,,,12.275591,,,,,,,,,,,,,,,,,
2000-04-13,,,,,,,12.038617,,,,,,,,,,,,,,,,,
2000-04-14,,,,,,,11.422467,,,,,,,,,,,,,,,,,
2000-04-17,,,,,,,11.754239,,,,,,,,,,,,,,,,,
2000-04-18,,,,,,,12.109710,,,,,,,,,,,,,,,,,
2000-04-19,,,,,,,12.441482,,,,,,,,,,,,,,,,,
2000-04-20,,,,,,,12.322994,,,,,,,,,,,,,,,,,
2000-04-24,,,,,,,12.228202,,,,,,,,,,,,,,,,,
2000-04-25,,,,,,,12.322994,,,,,,,,,,,,,,,,,
2000-04-26,,,,,,,12.299297,,,,,,,,,,,,,,,,,
2000-04-27,,,,,,,12.370387,,,,,,,,,,,,,,,,,
2000-04-28,,,,,,,12.559976,,,,,,,,,,,,,,,,,
2000-05-01,,,,,,,12.488879,,,,,,,,,,,,,,,,,
2000-05-02,,,,,,,12.820655,,,,,,,,,,,,,,,,,
2000-05-03,,,,,,,12.559976,,,,,,,,,,,,,,,,,
2000-05-04,,,,,,,12.512575,,,,,,,,,,,,,,,,,
2000-05-05,,,,,,,12.583673,,,,,,,,,,,,,,,,,
2000-05-08,,,,,,,12.370387,,,,,,,,,,,,,,,,,
2000-05-09,,,,,,,12.133410,,,,,,,,,,,,,,,,,
2000-05-10,,,,,,,12.062312,,,,,,,,,,,,,,,,,
2000-05-11,,,,,,,11.943825,,,,,,,,,,,,,,,,,
2000-05-12,,,,,,,12.275591,,,,,,,,,,,,,,,,,
2000-05-15,,,,,,,12.133410,,,,,,,,,,,,,,,,,
2000-05-16,,,,,,,12.417785,,,,,,,,,,,,,,,,,
2000-05-17,,,,,,,12.157107,,,,,,,,,,,,,,,,,
2000-05-18,,,,,,,12.275591,,,,,,,,,,,,,,,,,
2000-05-19,,,,,,,11.754239,,,,,,,,,,,,,,,,,
2000-05-22,,,,,,,11.138086,,,,,,,,,,,,,,,,,
2000-05-23,,,,,,,11.422467,,,,,,,,,,,,,,,,,
2000-05-24,,,,,,,11.185485,,,,,,,,,,,,,,,,,
2000-05-25,,,,,,,11.564654,,,,,,,,,,,,,,,,,
2000-05-26,,,,,,,11.659445,,,,,,,,32.726257,,,,,,,,,
2000-05-30,,,,,,,12.109710,,,,,,,,33.934212,,,,,,,,,
2000-05-31,,,,,,,12.299297,,,,,,,,34.057232,,,,,,,,,
2000-06-01,,,,,,,12.322994,,,,,,,,34.828968,,,,,,,,,
2000-06-02,,,,,,,13.010233,,,,,,,,36.640881,,,,,,,,,
2000-06-05,,,,,,,12.868051,,,,,,,,36.506668,,,,,,41.901115,,,
2000-06-06,,,,,,,12.891747,,,,,,,,36.864586,,,,,,40.176243,,,
2000-06-07,,,,,,,12.891747,,,,,,,,36.909306,,,,,,40.839657,,,
2000-06-08,,,,,,,12.702160,,,,,,,,36.819828,,,,,,41.025406,,,
2000-06-09,,,,,,,12.654768,,,,,,,,37.468513,,,,,,41.874584,,,
2000-06-12,,,,,,,12.725858,,,,,,,,36.355652,,,,,,40.255856,,,
2000-06-13,,,,,,,12.346689,,,,,,,,36.819828,,,,,,41.954193,,,
2000-06-14,,,,,,,12.275591,,,,,,,,36.640881,,,,,,40.149712,,,
2000-06-15,,,,,,,11.991219,,,,,,,,36.685612,,,,,,40.494678,,,
2000-06-16,,,,,,,11.849032,,,,,,,,36.484276,,,,,,40.760052,,,
2000-06-19,,,,,,,11.777938,,,,,,,,37.401432,12.856958,,,,,43.519844,,,
2000-06-20,,,,,,,12.133410,,,,,,,,37.647495,12.911442,,,,,44.156719,,,
2000-06-21,,,,,,,12.014915,,,,,,,,37.848026,12.974526,,,,,44.342480,,,
2000-06-22,,,,,,,11.754239,,,,,,,,36.706554,12.980263,,,,,42.139946,,,
2000-06-23,,,,,,,11.635748,,,,,,,,36.460350,12.980263,,,,,41.396915,,,
2000-06-26,,,,,,,11.635748,,,,,,,,36.907993,12.799615,,,,,41.396915,,,
2000-06-27,,,,,,,11.422467,,,,,,,,36.326054,12.983123,,,,,40.070091,,,
2000-06-28,,,,,,,11.730541,,,,,,,,37.243732,12.983123,,,,,40.282394,,,
2000-06-29,,,,,,,11.493562,,,,,,,,36.661793,12.983123,,,,,39.353619,,,
2000-06-30,,,,,,,11.801636,,,,,,,,37.014301,12.983123,,,,,39.910881,,,
2000-07-03,,,,,,,11.896431,,,,,,,,37.534668,13.057673,,,,,40.813126,,,
2000-07-05,,,,,,,11.825336,,,,,,,,37.109428,13.178102,,,,,37.628746,,,
2000-07-06,,,,,,,11.849032,,,,,,,,37.545887,13.218246,,,,,39.167854,,,
2000-07-07,,,,,,,11.872730,,,,,,,,37.780903,13.315729,,,,,40.441608,,,
2000-07-10,,,,,,,11.943825,,,,,,,,38.027103,13.304262,,,,,40.388542,,,
2000-07-11,,,,,,,11.825336,,,,,,,,37.982342,13.298521,,,,,39.751663,,,
2000-07-12,,,,,,,12.086016,,,,,,,,38.743324,13.235441,,,,,40.733517,,,
2000-07-13,,,,,,,12.157107,,,,,,,,38.866417,13.223975,,,,,41.768436,,,
2000-07-14,,,,,,,12.536277,,,,,,,,38.900009,13.195306,,,,,43.042187,,,
2000-07-17,,,,,,,12.631069,,,,,,,,39.034275,13.252652,,,,,43.705601,,,
