Date,ACWI,AGG,EMB,EWD,EWU,SPY,VGK,VPL
2000-01-03,,,,11.493562,16.522783,91.617035,,
2000-01-04,,,,11.090692,15.861871,88.034233,,
2000-01-05,,,,10.806318,15.956285,88.191757,,
2000-01-06,,,,10.616733,15.814663,86.774345,,
2000-01-07,,,,10.877411,15.673035,91.813881,,
2000-01-10,,,,11.185487,15.861871,92.128876,,
2000-01-11,,,,11.351371,15.625830,91.026489,,
2000-01-12,,,,11.256578,15.720250,90.120926,,
2000-01-13,,,,11.327675,15.767454,91.341431,,
2000-01-14,,,,11.564654,15.956285,92.581657,,
2000-01-18,,,,11.493562,15.543215,91.853302,,
2000-01-19,,,,11.469862,15.531412,92.601341,,
2000-01-20,,,,11.564654,15.248162,91.183975,,
2000-01-21,,,,11.469862,15.342580,90.987144,,
2000-01-24,,,,11.493562,15.106544,88.408302,,
2000-01-25,,,,11.398767,15.059336,89.412285,,
2000-01-26,,,,11.612052,15.059336,88.703598,,
2000-01-27,,,,11.327675,15.248162,88.349228,,
2000-01-28,,,,11.114392,14.681671,85.593254,,
2000-01-31,,,,10.830015,14.728875,87.916168,,
2000-02-01,,,,11.232881,14.728875,88.782318,,
2000-02-02,,,,11.801635,14.823290,88.861069,,
2000-02-03,,,,12.038618,14.776086,90.199699,,
2000-02-04,,,,12.014917,14.304011,89.825684,,
2000-02-07,,,,12.133409,14.162382,89.687859,,
2000-02-08,,,,12.488882,14.823290,90.908379,,
2000-02-09,,,,12.702159,14.917712,88.998863,,
2000-02-10,,,,12.607369,14.681671,89.176025,,
2000-02-11,,,,12.631070,14.256802,87.364944,,
2000-02-14,,,,12.346690,14.020760,87.876801,,
2000-02-15,,,,11.967522,14.067966,88.870911,,
2000-02-16,,,,12.370395,14.351216,87.561768,,
2000-02-17,,,,12.536273,14.398420,87.109085,,
2000-02-18,,,,12.536273,14.162382,85.238914,,
2000-02-22,,,,12.607369,14.304011,85.022377,,
2000-02-23,,,,12.844351,14.540049,86.026337,,
2000-02-24,,,,12.939143,14.162382,84.293976,,
2000-02-25,,,,13.199821,14.162382,83.988846,,
2000-02-28,,,,13.247222,14.209589,85.750725,,
2000-02-29,,,,13.176125,14.492839,86.577538,,
2000-03-01,,,,13.555289,14.776086,87.207512,,
2000-03-02,,,,13.887063,14.776086,87.266556,,
2000-03-03,,,,14.076649,15.012124,88.900444,,
2000-03-06,,,,13.839672,14.823290,88.034233,,
2000-03-07,,,,13.887063,14.540049,86.331444,,
2000-03-08,,,,13.578993,14.681671,86.223206,,
2000-03-09,,,,13.697485,15.200961,88.742950,,
2000-03-10,,,,13.792273,15.106544,88.270454,,
2000-03-13,,,,13.294613,14.634459,87.305908,,
2000-03-14,,,,13.342007,15.106544,86.065727,,
2000-03-15,,,,13.105025,14.964917,88.073669,,
2000-03-16,,,,13.294613,15.673035,92.187943,,
2000-03-17,,,,13.389410,15.248162,92.797188,,
2000-03-20,,,,13.578993,15.389791,92.323593,,
2000-03-21,,,,13.578993,15.436998,94.218178,,
2000-03-22,,,,13.602692,15.436998,94.790543,,
2000-03-23,,,,13.555289,15.484203,96.408844,,
2000-03-24,,,,13.484194,15.861871,96.981186,,
2000-03-27,,,,13.247222,15.673035,95.954941,,
2000-03-28,,,,13.294613,15.673035,95.402344,,
2000-03-29,,,,13.152423,15.484203,95.501053,,
2000-03-30,,,,12.702159,15.059336,93.902420,,
2000-03-31,,,,12.962840,15.436998,94.968193,,
2000-04-03,,,,12.607369,15.389791,95.520737,,
2000-04-04,,,,12.773255,15.342580,94.810272,,
2000-04-05,,,,12.417783,15.248162,94.218178,,
2000-04-06,,,,12.868045,15.295373,95.037216,,
2000-04-07,,,,12.915443,15.578619,95.639191,,
2000-04-10,,,,13.128725,15.484203,95.264175,,
2000-04-11,,,,12.607369,15.200961,94.987915,,
2000-04-12,,,,12.275596,15.012124,92.382729,,
2000-04-13,,,,12.038618,15.153751,91.099991,,
2000-04-14,,,,11.422467,14.209589,85.889732,,
2000-04-17,,,,11.754239,14.209589,88.889534,,
2000-04-18,,,,12.109711,14.492839,91.238083,,
2000-04-19,,,,12.441480,14.728875,90.389427,,
2000-04-20,,,,12.322991,14.823290,90.823654,,
2000-04-24,,,,12.228200,14.587257,89.836906,,
2000-04-25,,,,12.322991,15.106544,93.566948,,
2000-04-26,,,,12.299295,14.823290,92.511047,,
2000-04-27,,,,12.370395,14.728875,92.205177,,
2000-04-28,,,,12.559978,14.823290,91.632805,,
2000-05-01,,,,12.488882,14.728875,92.876152,,
2000-05-02,,,,12.820655,14.728875,91.021034,,
2000-05-03,,,,12.559978,14.256802,88.889534,,
2000-05-04,,,,12.512578,14.256802,89.560570,,
2000-05-05,,,,12.583674,14.351216,90.646072,,
2000-05-08,,,,12.370395,14.209589,89.965164,,
2000-05-09,,,,12.133409,14.115173,89.244781,,
2000-05-10,,,,12.062317,13.879137,87.231728,,
2000-05-11,,,,11.943822,14.091571,89.225060,,
2000-05-12,,,,12.275596,14.351216,90.192116,,
2000-05-15,,,,12.133409,14.304011,91.751251,,
2000-05-16,,,,12.417783,14.351216,92.639328,,
2000-05-17,,,,12.157108,14.020760,91.672310,,
2000-05-18,,,,12.275596,13.784719,90.547348,,
2000-05-19,,,,11.754239,13.548676,89.126366,,
2000-05-22,,,,11.138092,13.501472,88.455383,,
2000-05-23,,,,11.422467,13.548676,87.152771,,
2000-05-24,,,,11.185487,13.784719,88.573799,,
2000-05-25,,,,11.564654,13.879137,87.054146,,
2000-05-26,,,,11.659449,14.067966,87.152771,,
2000-05-30,,,,12.109711,14.351216,89.994743,,
2000-05-31,,,,12.299295,14.304011,90.192116,,
2000-06-01,,,,12.322991,14.351216,91.770988,,
2000-06-02,,,,13.010238,14.917712,93.369560,,
2000-06-05,,,,12.868045,15.059336,92.915619,,
2000-06-06,,,,12.891747,14.917712,92.501183,,
2000-06-07,,,,12.891747,14.776086,93.142616,,
2000-06-08,,,,12.702159,14.776086,92.777466,,
2000-06-09,,,,12.654763,14.492839,92.580124,,
2000-06-12,,,,12.725858,14.492839,91.494682,,
2000-06-13,,,,12.346690,14.681671,93.211685,,
2000-06-14,,,,12.275596,14.823290,93.369560,,
2000-06-15,,,,11.991219,14.823290,93.566948,,
2000-06-16,,,,11.849030,14.728875,92.798119,,
2000-06-19,,,,11.777936,14.728875,93.985001,,
2000-06-20,,,,12.133409,14.870502,93.648712,,
2000-06-21,,,,12.014917,14.728875,93.609222,,
2000-06-22,,,,11.754239,14.669870,92.184860,,
2000-06-23,,,,11.635750,14.445632,91.393600,,
2000-06-26,,,,11.635750,14.398420,92.570633,,
2000-06-27,,,,11.422467,14.398420,91.888168,,
2000-06-28,,,,11.730544,14.445632,92.145309,,
2000-06-29,,,,11.493562,14.162382,91.274895,,
2000-06-30,,,,11.801635,14.492839,91.967255,,
2000-07-03,,,,11.896423,14.823290,93.233330,,
2000-07-05,,,,11.825334,14.445632,91.551857,,
2000-07-06,,,,11.849030,14.870502,92.263947,,
2000-07-07,,,,11.872725,14.964917,93.747650,,
2000-07-10,,,,11.943822,14.870502,93.589378,,
2000-07-11,,,,11.825334,14.964917,93.787247,,
2000-07-12,,,,12.086007,14.917712,94.400444,,
2000-07-13,,,,12.157108,14.823290,94.815895,,
2000-07-14,,,,12.536273,14.634459,95.745621,,
2000-07-17,,,,12.631070,14.870502,95.587364,,
2000-07-18,,,,12.228200,14.540049,94.805969,,
2000-07-19,,,,11.967522,14.681671,94.044426,,
2000-07-20,,,,12.251900,14.870502,95.350014,,
2000-07-21,,,,11.896423,14.587257,93.490509,,
2000-07-24,,,,11.967522,14.587257,92.956322,,
2000-07-25,,,,11.872725,14.634459,93.253082,,
2000-07-26,,,,11.825334,14.776086,92.343102,,
2000-07-27,,,,11.303976,14.728875,92.026611,,
2000-07-28,,,,11.256578,14.540049,89.949463,,
2000-07-31,,,,11.327675,14.492839,90.523178,,
2000-08-01,,,,11.066997,14.492839,91.077072,,
2000-08-02,,,,10.948507,14.492839,91.532043,,
2000-08-03,,,,10.664127,14.351216,92.165085,,
2000-08-04,,,,10.782617,14.634459,92.659599,,
2000-08-07,,,,10.948507,14.728875,93.767448,,
2000-08-08,,,,10.853714,14.634459,94.123512,,
2000-08-09,,,,11.138092,14.634459,93.332184,,
2000-08-10,,,,11.066997,14.445632,92.877213,,
2000-08-11,,,,10.830015,14.681671,93.312401,,
2000-08-14,,,,10.901107,14.776086,94.499390,,
2000-08-15,,,,10.972204,14.823290,94.420250,,
2000-08-16,,,,11.019596,14.870502,94.083916,,
2000-08-17,,,,11.280276,15.059336,95.073067,,
2000-08-18,,,,11.090692,14.964917,94.756554,,
2000-08-21,,,,11.090692,14.964917,95.270859,,
