Date,ACWI,AGG,EMB,EWD,EWU,SPY,VGK,VPL
2000-01-03,,,,11.493562,16.522783,91.617035,,
2000-01-10,,,,11.185487,15.861871,92.128876,,
2000-01-17,,,,11.564654,15.956285,92.581657,,
2000-01-24,,,,11.493562,15.106544,88.408302,,
2000-01-31,,,,10.830015,14.728875,87.916168,,
2000-02-07,,,,12.133409,14.162382,89.687859,,
2000-02-14,,,,12.346690,14.020760,87.876801,,
2000-02-21,,,,12.536273,14.162382,85.238914,,
2000-02-28,,,,13.247222,14.209589,85.750725,,
2000-03-06,,,,13.839672,14.823290,88.034233,,
2000-03-13,,,,13.294613,14.634459,87.305908,,
2000-03-20,,,,13.578993,15.389791,92.323593,,
2000-03-27,,,,13.247222,15.673035,95.954941,,
2000-04-03,,,,12.607369,15.389791,95.520737,,
2000-04-10,,,,13.128725,15.484203,95.264175,,
2000-04-17,,,,11.754239,14.209589,88.889534,,
2000-04-24,,,,12.228200,14.587257,89.836906,,
2000-05-01,,,,12.488882,14.728875,92.876152,,
2000-05-08,,,,12.370395,14.209589,89.965164,,
2000-05-15,,,,12.133409,14.304011,91.751251,,
2000-05-22,,,,11.138092,13.501472,88.455383,,
2000-05-29,,,,11.659449,14.067966,87.152771,,
2000-06-05,,,,12.868045,15.059336,92.915619,,
2000-06-12,,,,12.725858,14.492839,91.494682,,
2000-06-19,,,,11.777936,14.728875,93.985001,,
2000-06-26,,,,11.635750,14.398420,92.570633,,
2000-07-03,,,,11.896423,14.823290,93.233330,,
2000-07-10,,,,11.943822,14.870502,93.589378,,
2000-07-17,,,,12.631070,14.870502,95.587364,,
2000-07-24,,,,11.967522,14.587257,92.956322,,
2000-07-31,,,,11.327675,14.492839,90.523178,,
2000-08-07,,,,10.948507,14.728875,93.767448,,
2000-08-14,,,,10.901107,14.776086,94.499390,,
2000-08-21,,,,11.090692,14.964917,95.270859,,
2000-08-28,,,,11.263995,14.770113,96.072021,,
2000-09-04,,,,11.582513,15.067502,96.536934,,
2000-09-11,,,,10.945470,14.076221,94.697182,,
2000-09-18,,,,10.395301,13.679705,91.801643,,
2000-09-25,,,,10.337393,13.778831,91.543846,,
2000-10-02,,,,10.192609,14.076221,91.286003,,
2000-10-09,,,,9.497660,13.828398,88.846725,,
2000-10-16,,,,9.266008,13.778831,87.696419,,
2000-10-23,,,,8.918537,13.977089,89.183815,,
2000-10-30,,,,9.150185,14.125778,89.183815,,
2000-11-06,,,,9.352878,14.125778,91.246368,,
2000-11-13,,,,8.455237,13.828398,86.030594,,
2000-11-20,,,,8.397322,13.828398,85.475296,,
2000-11-27,,,,8.368367,14.026654,86.328049,,
2000-12-04,,,,8.339409,13.729268,84.622528,,
2000-12-11,,,,9.063316,14.423168,87.974129,,
2000-12-18,,,,8.455237,13.828398,84.484238,,
2000-12-25,,,,8.599249,13.841991,83.350327,,
2001-01-01,,,,8.659808,13.990825,83.509499,,
2001-01-08,,,,8.902040,14.090055,82.872940,,
2001-01-15,,,,9.204828,13.941216,84.026703,,
2001-01-22,,,,9.447062,13.891599,85.876717,,
2001-01-29,,,,9.117626,13.939231,86.954910,,
2001-02-05,,,,9.117626,14.050368,86.439285,,
2001-02-12,,,,8.793036,13.859849,84.886086,,
2001-02-19,,,,8.235902,13.470883,83.008186,,
2001-02-26,,,,8.139010,13.121614,81.238541,,
2001-03-05,,,,8.308571,13.439133,79.405251,,
2001-03-12,,,,7.363864,13.089860,75.165733,,
2001-03-19,,,,6.830956,12.311929,74.902130,,
2001-03-26,,,,6.903623,12.407184,74.002159,,
2001-04-02,,,,6.104257,12.375437,72.891548,,
2001-04-09,,,,6.758285,12.748520,73.121353,,
2001-04-16,,,,6.738907,12.827901,75.061714,,
2001-04-23,,,,6.855177,13.153363,78.023315,,
2001-04-30,,,,7.339640,13.216865,80.844536,,
2001-05-07,,,,7.436536,13.089860,80.576439,,
2001-05-14,,,,7.262128,12.804086,80.040268,,
2001-05-21,,,,7.799883,13.455012,84.029533,,
2001-05-28,,,,7.402622,13.018414,81.763664,,
2001-06-04,,,,6.923002,13.002537,81.278557,,
2001-06-11,,,,6.540275,12.724711,80.487083,,
2001-06-18,,,,6.588720,12.494505,77.617958,,
2001-06-25,,,,6.516050,12.605639,77.912392,,
2001-07-02,,,,6.637166,12.581821,79.455017,,
2001-07-09,,,,6.007362,12.057911,76.619392,,
2001-07-16,,,,6.322267,12.145229,77.265892,,
2001-07-23,,,,6.152703,11.954718,76.139313,,
2001-07-30,,,,6.583876,12.200799,77.355499,,
2001-08-06,,,,6.748596,12.311929,77.003471,,
2001-08-13,,,,6.588720,12.184920,76.376160,,
2001-08-20,,,,6.201149,12.145229,75.422417,,
2001-08-27,,,,6.762684,12.463417,75.729645,,
2001-09-03,,,,6.213309,12.253542,73.066887,,
2001-09-10,,,,5.542389,11.623908,70.442474,,
2001-09-17,,,,5.347917,11.171869,66.761925,,
2001-09-24,,,,5.129142,10.526096,64.699471,,
2001-10-01,,,,5.104832,11.155725,66.993187,,
2001-10-08,,,,5.518079,11.744993,68.445198,,
2001-10-15,,,,5.688241,11.543191,70.224907,,
2001-10-22,,,,5.542389,11.454394,70.334160,,
2001-10-29,,,,5.834092,11.494760,69.036270,,
2001-11-05,,,,5.931328,11.954865,71.111580,,
2001-11-12,,,,5.931328,11.890288,71.978920,,
2001-11-19,,,,6.553631,11.962939,74.381882,,
2001-11-26,,,,6.592525,11.946795,74.484642,,
2001-12-03,,,,6.509875,11.696563,72.839874,,
2001-12-10,,,,6.767547,11.623908,73.488815,,
2001-12-17,,,,6.441812,11.809571,73.437408,,
2001-12-24,,,,6.364023,11.762383,73.967247,,
2001-12-31,,,,6.665452,12.041074,73.689987,,
2002-01-07,,,,7.068976,11.983696,75.295341,,
2002-01-14,,,,6.500152,11.655826,73.638443,,
2002-01-21,,,,6.300820,11.655826,72.948578,,
2002-01-28,,,,6.101490,11.631233,73.406357,,
2002-02-04,,,,6.033426,11.549267,70.821098,,
2002-02-11,,,,6.242480,11.664021,71.846169,,
2002-02-18,,,,6.111212,11.639431,71.491554,,
2002-02-25,,,,6.174417,11.524675,71.852577,,
2002-03-04,,,,6.704346,11.926318,74.624825,,
2002-03-11,,,,6.840476,12.008283,75.585434,,
2002-03-18,,,,6.631421,12.065662,75.433441,,
2002-03-25,,,,6.495291,11.844352,73.454987,,
2002-04-01,,,,6.607110,12.245993,74.075653,,
2002-04-08,,,,6.315404,11.860748,73.015282,,
2002-04-15,,,,6.232756,11.893530,71.489456,,
2002-04-22,,,,5.863263,12.024680,71.767448,,
2002-04-29,,,,5.858403,12.008283,69.090706,,
2002-05-06,,,,5.853540,12.155830,68.192032,,
2002-05-13,,,,5.975082,12.237795,69.743767,,
2002-05-20,,,,6.077180,12.229598,70.926949,,
2002-05-27,,,,6.077180,12.180422,70.273933,,
2002-06-03,,,,5.926466,11.885333,67.480804,,
2002-06-10,,,,5.659071,11.639431,67.073509,,
2002-06-17,,,,5.663932,11.352545,67.319153,,
2002-06-24,,,,5.245822,10.983690,64.751945,,
2002-07-01,,,,5.780615,11.549267,62.954681,,
2002-07-08,,,,5.591005,11.426313,63.629456,,
2002-07-15,,,,5.153449,10.204989,59.911720,,
2002-07-22,,,,4.813126,9.991877,53.332714,,
2002-07-29,,,,4.856883,10.827947,58.244278,,
2002-08-05,,,,4.375571,9.959087,54.351372,,
2002-08-12,,,,4.424188,10.573853,58.795776,,
2002-08-19,,,,4.477666,11.024671,61.897102,,
2002-08-26,,,,5.031907,10.901720,61.806282,,
2002-09-02,,,,4.832574,10.541061,59.548389,,
2002-09-09,,,,4.686722,10.401717,58.821732,,
2002-09-16,,,,4.550593,10.049253,58.322159,,
2002-09-23,,,,4.176239,9.393512,54.523357,,
2002-09-30,,,,3.996353,9.582041,53.304619,,
2002-10-07,,,,3.694926,9.475479,51.570995,,
2002-10-14,,,,4.103312,9.844336,55.155518,,
2002-10-21,,,,4.516561,10.377127,58.766075,,
2002-10-28,,,,4.497114,10.286963,58.401119,,
2002-11-04,,,,4.817989,10.229587,59.391708,,
2002-11-11,,,,4.696446,10.262372,57.521255,,
2002-11-18,,,,5.172896,10.409912,58.968105,,
2002-11-25,,,,5.323611,10.442702,60.923271,,
2002-12-02,,,,5.255544,10.278769,61.346878,,
2002-12-09,,,,5.124279,10.016471,58.329411,,
2002-12-16,,,,5.027044,10.139421,59.730618,,
2002-12-23,,,,4.808828,10.042803,58.956615,,
2002-12-30,,,,4.700543,10.210603,57.705704,,
2003-01-06,,,,5.050007,10.361619,60.882111,,
2003-01-13,,,,5.109072,10.067973,60.927929,,
2003-01-20,,,,4.926958,9.933733,59.375774,,
2003-01-27,,,,4.705465,9.178634,55.799866,,
2003-02-03,,,,4.656243,9.799494,56.474422,,
2003-02-10,,,,4.459363,9.505844,55.020496,,
2003-02-17,,,,4.725152,9.539405,55.112194,,
2003-02-24,,,,4.656243,9.472284,54.882961,,
2003-03-03,,,,4.636557,9.287706,55.072899,,
2003-03-10,,,,4.429831,8.884986,53.258751,,
2003-03-17,,,,4.808828,9.489064,56.834641,,
2003-03-24,,,,4.680854,9.581357,57.004604,,
2003-03-31,,,,4.538115,9.329658,55.722366,,
2003-04-07,,,,4.922034,9.782718,57.898926,,
2003-04-14,,,,4.877736,10.017632,58.490726,,
2003-04-21,,,,4.961410,9.875005,58.951057,,
2003-04-28,,,,5.256732,10.218991,60.358246,,
2003-05-05,,,,5.670183,10.386790,61.173592,,
2003-05-12,,,,5.630807,10.638494,62.390118,,
2003-05-19,,,,5.424080,10.554591,60.923725,,
2003-05-26,,,,5.512678,10.772730,61.653629,,
2003-06-02,,,,5.803078,11.007649,64.014328,,
2003-06-09,,,,5.857221,11.083158,64.606140,,
2003-06-16,,,,6.029493,11.536219,66.848450,,
2003-06-23,,,,5.739093,11.234181,64.951683,,
2003-06-30,,,,5.719404,11.016040,64.430313,,
2003-07-07,,,,5.837533,11.083158,66.456345,,
2003-07-14,,,,5.837533,10.990871,66.476151,,
2003-07-21,,,,5.950739,10.680440,64.859245,,
2003-07-28,,,,6.246061,11.116717,65.901985,,
2003-08-04,,,,6.157464,10.948919,65.011108,,
2003-08-11,,,,6.044258,11.057991,65.103493,,
2003-08-18,,,,6.196841,11.284518,66.311180,,
2003-08-25,,,,6.108245,11.032821,65.948189,,
2003-09-01,,,,6.152542,10.915360,66.944733,,
2003-09-08,,,,6.689044,11.326466,68.422981,,
2003-09-15,,,,6.639824,11.292907,67.373672,,
2003-09-22,,,,6.615215,11.460709,67.937027,,
2003-09-29,,50.241993,,6.605371,11.477488,66.863869,,
2003-10-06,,50.109219,,6.777642,11.980886,68.804886,,
2003-10-13,,49.937130,,6.940069,12.106736,69.493858,,
2003-10-20,,49.789597,,6.959757,12.081568,69.586617,,
2003-10-27,,50.133827,,6.984366,11.947328,68.652527,,
2003-11-03,,49.941208,,6.890847,12.098345,70.215958,,
2003-11-10,,49.886982,,7.033587,11.989275,69.679367,,
2003-11-17,,50.508789,,7.200936,12.165464,69.513733,,
2003-11-24,,50.262009,,7.097574,12.366828,69.950981,,
2003-12-01,,50.060287,,7.323986,12.710816,71.282539,,
2003-12-08,,50.421494,,7.491338,12.643698,71.262688,,
2003-12-15,,50.515533,,7.447037,12.509456,71.282539,,
2003-12-22,,50.743126,,7.504558,13.326707,72.990524,,
2003-12-29,,50.713451,,7.877766,13.476642,73.988945,,
2004-01-05,,50.461124,,8.018984,13.988191,74.840927,,
2004-01-12,,51.066547,,8.235847,13.979368,75.360115,,
2004-01-19,,51.205475,,8.150112,13.741240,76.032349,,
2004-01-26,,50.962322,,8.261065,13.697136,77.123993,,
2004-02-02,,50.926666,,8.150112,13.582479,75.859299,,
2004-02-09,,51.170422,,8.730100,14.005829,76.198776,,
2004-02-16,,51.493896,,8.725059,14.094029,76.631416,,
2004-02-23,,51.364506,,8.760362,14.349798,76.271942,,
2004-03-01,,51.516800,,8.664535,14.508562,77.317001,,
2004-03-08,,51.960674,,8.815838,14.261605,76.518265,,
2004-03-15,,51.940758,,8.089589,13.529564,74.015587,,
2004-03-22,,52.070431,,7.953418,13.529564,73.239754,,
2004-03-29,,51.801075,,8.245935,13.802978,75.203445,,
2004-04-05,,51.080967,,8.725059,14.129309,76.993576,,
2004-04-12,,51.115993,,8.795667,14.314523,76.692955,,
2004-04-19,,50.875992,,8.654449,14.217506,76.031723,,
2004-04-26,,50.660961,,8.568711,14.067573,76.278862,,
2004-05-03,,50.315742,,8.321585,13.926453,74.909576,,
2004-05-10,,49.684063,,7.857595,13.467821,72.692009,,
2004-05-17,,49.989841,,7.943330,13.450182,72.872345,,
2004-05-24,,50.024986,,8.235847,13.776511,73.653870,,
2004-05-31,,50.200466,,8.538452,14.023472,75.383797,,
2004-06-07,,50.088303,,8.906619,14.393900,76.612801,,
2004-06-14,,49.791569,,8.387149,14.023472,75.624298,,
2004-06-21,,50.309566,,8.472887,14.332163,75.886925,,
2004-06-28,,50.259293,,8.740188,14.340983,76.054520,,
2004-07-05,,50.953079,,8.765401,14.023472,75.672409,,
2004-07-12,,50.942993,,8.593930,14.182225,74.934975,,
2004-07-19,,51.084236,,8.427496,14.067573,73.902626,,
2004-07-26,,50.816872,,8.210631,13.679502,72.903763,,
2004-08-02,,51.019619,,8.407324,14.094029,74.459038,,
2004-08-09,,51.601677,,8.250978,13.776511,71.730583,,
2004-08-16,,51.647263,,8.271151,13.917629,72.602028,,
2004-08-23,,51.667461,,8.488018,13.847074,73.875809,,
2004-08-30,,51.859825,,8.523321,14.032292,74.097015,,
2004-09-06,,51.813126,,8.649405,14.005829,75.162888,,
2004-09-13,,52.077129,,8.805753,14.226324,76.041092,,
2004-09-20,,52.264992,,8.846096,14.235144,75.711388,,
2004-09-27,,52.264992,,9.007486,14.314523,74.553574,,
2004-10-04,,52.049995,,9.456348,14.579120,76.633629,,
2004-10-11,,52.253658,,9.526955,14.711412,76.047989,,
2004-10-18,,52.386158,,9.380694,14.543839,75.179573,,
2004-10-25,,52.650978,,9.123482,14.676132,73.954414,,
2004-11-01,,52.466789,,9.410958,14.914268,76.411476,,
2004-11-08,,52.165531,,9.758948,15.267059,78.834930,,
2004-11-15,,52.364635,,10.439807,15.514011,80.162338,,
2004-11-22,,52.441250,,10.227987,15.416996,79.655968,,
2004-11-29,,52.165531,,10.742411,15.778609,79.541153,,
2004-12-06,,52.451233,,10.671801,16.069656,80.486382,,
2004-12-13,,52.640774,,10.439807,16.007923,81.269569,,
2004-12-20,,52.528061,,10.490241,16.122583,81.042931,,
2004-12-27,,52.466621,,10.732640,16.253960,81.755203,,
2005-01-03,,52.607155,,10.742794,16.164055,81.605995,,
2005-01-10,,52.530102,,10.453277,15.894360,80.724121,,
2005-01-17,,52.617424,,10.295815,15.660613,80.208580,,
2005-01-24,,52.941116,,9.991056,15.660613,79.062149,,
2005-01-31,,52.864021,,10.112960,15.867386,80.154312,,
2005-02-07,,53.126293,,10.178988,16.110117,81.449959,,
2005-02-14,,53.110855,,10.392322,16.622551,81.863747,,
2005-02-21,,52.935650,,10.300894,16.793360,81.667030,,
2005-02-28,,52.667660,,10.691999,16.703461,81.829865,,
2005-03-07,,52.769524,,10.940892,16.829315,83.295105,,
2005-03-14,,52.294064,,10.803748,16.676489,82.175835,23.930527,28.357592
