date,AUD | Debt - Mezzanine - AUD,AUD | Debt - Senior - AUD,AUD | Eq - Buyout + Expansion - AUD,AUD | Infrastructure - AUD,AUD | Real Estate - All - UK - AUD,AUD | Real Estate - All - USA - AUD,AUD | Real Estate - Ex-Value-Added - APAC - AUD,AUD | Real Estate - Ex-Value-Added - Europe - AUD,AUD | Real Estate - Ex-Value-Added - UK - AUD,AUD | Real Estate - Ex-Value-Added - USA - AUD,AUD | Real Estate - Value-Added - Europe - AUD,AUD | Real Estate - Value-Added - UK - AUD,AUD | Real Estate - Value-Added - USA - AUD,AUD | Timber - AUD,AUD | Venture Capital - AUD,CHF | Debt - Mezzanine - CHF,CHF | Debt - Senior - CHF,CHF | Eq - Buyout + Expansion - CHF,CHF | Infrastructure - CHF,CHF | Real Estate - All - UK - CHF,CHF | Real Estate - All - USA - CHF,CHF | Real Estate - Ex-Value-Added - APAC - CHF,CHF | Real Estate - Ex-Value-Added - Europe - CHF,CHF | Real Estate - Ex-Value-Added - UK - CHF,CHF | Real Estate - Ex-Value-Added - USA - CHF,CHF | Real Estate - Value-Added - Europe - CHF,CHF | Real Estate - Value-Added - UK - CHF,CHF | Real Estate - Value-Added - USA - CHF,CHF | Timber - CHF,CHF | Venture Capital - CHF,EUR | Debt - Mezzanine - EUR,EUR | Debt - Senior - EUR,EUR | Eq - Buyout + Expansion - EUR,EUR | Infrastructure - EUR,EUR | Real Estate - All - UK - EUR,EUR | Real Estate - All - USA - EUR,EUR | Real Estate - Ex-Value-Added - APAC - EUR,EUR | Real Estate - Ex-Value-Added - Europe - EUR,EUR | Real Estate - Ex-Value-Added - UK - EUR,EUR | Real Estate - Ex-Value-Added - USA - EUR,EUR | Real Estate - Value-Added - Europe - EUR,EUR | Real Estate - Value-Added - UK - EUR,EUR | Real Estate - Value-Added - USA - EUR,EUR | Timber - EUR,EUR | Venture Capital - EUR,GBP | Debt - Mezzanine - GBP,GBP | Debt - Senior - GBP,GBP | Eq - Buyout + Expansion - GBP,GBP | Infrastructure - GBP,GBP | Real Estate - All - UK - GBP,GBP | Real Estate - All - USA - GBP,GBP | Real Estate - Ex-Value-Added - APAC - GBP,GBP | Real Estate - Ex-Value-Added - Europe - GBP,GBP | Real Estate - Ex-Value-Added - UK - GBP,GBP | Real Estate - Ex-Value-Added - USA - GBP,GBP | Real Estate - Value-Added - Europe - GBP,GBP | Real Estate - Value-Added - UK - GBP,GBP | Real Estate - Value-Added - USA - GBP,GBP | Timber - GBP,GBP | Venture Capital - GBP,SEK | Debt - Mezzanine - SEK,SEK | Debt - Senior - SEK,SEK | Eq - Buyout + Expansion - SEK,SEK | Infrastructure - SEK,SEK | Real Estate - All - UK - SEK,SEK | Real Estate - All - USA - SEK,SEK | Real Estate - Ex-Value-Added - APAC - SEK,SEK | Real Estate - Ex-Value-Added - Europe - SEK,SEK | Real Estate - Ex-Value-Added - UK - SEK,SEK | Real Estate - Ex-Value-Added - USA - SEK,SEK | Real Estate - Value-Added - Europe - SEK,SEK | Real Estate - Value-Added - UK - SEK,SEK | Real Estate - Value-Added - USA - SEK,SEK | Timber - SEK,SEK | Venture Capital - SEK,USD | Debt - Mezzanine - USD,USD | Debt - Senior - USD,USD | Eq - Buyout + Expansion - USD,USD | Infrastructure - USD,USD | Real Estate - All - UK - USD,USD | Real Estate - All - USA - USD,USD | Real Estate - Ex-Value-Added - APAC - USD,USD | Real Estate - Ex-Value-Added - Europe - USD,USD | Real Estate - Ex-Value-Added - UK - USD,USD | Real Estate - Ex-Value-Added - USA - USD,USD | Real Estate - Value-Added - Europe - USD,USD | Real Estate - Value-Added - UK - USD,USD | Real Estate - Value-Added - USA - USD,USD | Timber - USD,USD | Venture Capital - USD
1978-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-31,,,,,,,,,,,,,,,94.000000,,,,,,,,,,,,,,,181.000000,,,,,,,,,,,,,,,79.000000,,,,,,,,,,,,,,,52.000000,,,,,,,,,,,,,,,463.000000,,,,,,,,,,,,,,,106.000000
1980-03-31,,,,,,,,,,,,,,,141.000000,,,,,,,,,,,,,,,264.000000,,,,,,,,,,,,,,,115.000000,,,,,,,,,,,,,,,75.000000,,,,,,,,,,,,,,,677.000000,,,,,,,,,,,,,,,158.000000
1980-06-30,,,,,,,,,,,,,,,198.000000,,,,,,,,,,,,,,,373.000000,,,,,,,,,,,,,,,162.000000,,,,,,,,,,,,,,,104.000000,,,,,,,,,,,,,,,953.000000,,,,,,,,,,,,,,,223.000000
1980-09-30,,,,,,,,,,,,,,,239.000000,,,,,,,,,,,,,,,450.000000,,,,,,,,,,,,,,,195.000000,,,,,,,,,,,,,,,123.000000,,,,,,,,,,,,,,,1149.000000,,,,,,,,,,,,,,,270.000000
1980-12-31,,,,,,,,,,,,,,,291.000000,,,,,,,,,,,,,,,557.000000,,,,,,,,,,,,,,,241.000000,,,,,,,,,,,,,,,149.000000,,,,,,,,,,,,,,,1415.000000,,,,,,,,,,,,,,,331.000000
1981-03-31,,,,,,,,,,,,,,,393.000000,,,,,,,,,,,,,,,783.000000,,,,,,,,,,,,,,,337.000000,,,,,,,,,,,,,,,200.000000,,,,,,,,,,,,,,,1956.000000,,,,,,,,,,,,,,,451.000000
1981-06-30,,,,,,,,,,,,,,,523.000000,,,,,,,,,,,,,,,1082.000000,,,,,,,,,,,,,,,468.000000,,,,,,,,,,,,,,,270.000000,,,,,,,,,,,,,,,2670.000000,,,,,,,,,,,,,,,599.000000
1981-09-30,,,,,,,,,,,,,,,571.000000,,,,,,,,,,,,,,,1192.000000,,,,,,,,,,,,,,,519.000000,,,,,,,,,,,,,,,300.000000,,,,,,,,,,,,,,,2980.000000,,,,,,,,,,,,,,,656.000000
1981-12-31,,,,,,,,,,,,,,,615.000000,,,,,,,,,,,,,,,1282.000000,,,,,,,,,,,,,,,565.000000,,,,,,,,,,,,,,,327.000000,,,,,,,,,,,,,,,3256.000000,,,,,,,,,,,,,,,706.000000
1982-03-31,,,,,,,,,,,,,,,781.000000,,,,,,,,,,,,,,,1617.000000,,,,,,,,,,,,,,,738.000000,,,,,,,,,,,,,,,424.000000,,,,,,,,,,,,,,,4286.000000,,,,,,,,,,,,,,,884.000000
